pageid,title,cleaned_member
217706,Dream Police,"['Johnny Concrete', 'Steen René Christiansen', 'Allan Lauritzen', 'Jan Schriver', 'S.E. Frog', 'Claus Buldermave', 'Günther Paulsen', 'Felix Paulsen', 'Zvika Barash']"
117588,Düreforsög,"['Boriz S', 'Nis B', 'Mads H', 'Andreas H', 'Kaspar L', 'Jess W', 'Rune T']"
410287,Einstein (rockband),"['Michael Hardinger', 'Bosse Hall Christensen', 'Kim Daugaard', 'Kasper Daugaard', 'Gorm Bull Sarning']"
731858,Electric Guitars,"['Mika Vandborg', 'Søren Andersen']"
256322,Elevatordrengene,"['Thomas Helmig', 'Palle Torp', 'Claes Antonsen', 'Jesper Mardahl']"
376691,Entakt,"['Jonas Villumsen', 'Kristian Martinsen', 'Abas Bathily', 'Nicolai Olsen', 'Henrik Gibo', 'Henning Villumsen', 'Søren Gemmer']"
1169195,Bruger:Epokeband/sandkasse,[]
562518,Escape Artists,"['Torben Johansen', 'Søren Laugesen', 'Benny Woitowitz', 'Finn Detlef']"
792529,Essence (band),"['Lasse Skov', 'Mark Drastrup', 'Rasmus Munch', 'Nikolaj Kjærgaard', 'Jens Martin Haumann', 'Tobias Nefer']"
497612,Even Dwarfs,"['Tobias Bendixen', 'Kim Wolf Andersen']"
403315,Factory45,"['Esben Busch', 'Charlie', 'Morten', 'Jonathan']"
495489,Fahrenheit (dansk band),[]
206217,The Fashion,"['Alan Darby', 'Dave Harris', 'Troy Tate', 'Marlon Recchi', 'Dik Davis', 'Lûke', 'Tony Deary', 'John Mulligan (5)', 'Al James (16)']"
501263,Feed Back,"['Michele Violante', ""Maurizio D'Ambrosio"", 'Ilario Drago']"
540173,The Felines,"['Asta Bjerre', 'Ditte Melgaard', 'Mei Long Bao']"
87961,Figurines,"['Christian Hjelm', 'Claus S. Johansen', 'Andreas Toft', 'Kristian Volden', 'Jens Ramon']"
1113815,First flush,"['Jonathan Carstensen', 'Alexander Weile', 'Jeppe Davidsen (2)', 'Mads Rubin', 'Peter Bruhn (4)']"
219434,Five Tonnys,"['Svend Christiansen', 'Knud Thormod', 'Tonny Elm Larsen', 'Bjarne Bøgelund Jensen', 'Benni Christiansen']"
188771,Frank Rubino,"['Frank Lundum', 'Tommy Lui', 'Lars Møller', 'Jan Møller', 'Morten Kjeldsen', 'Christian Bach']"
191534,Frede Fup,"['Wili Jønsson', 'Trond Clements', 'Thomas Grue', 'Bjørn Uglebjerg', 'Hans Fagt', 'Flemming Muus', 'Steen Svare', 'Frede Norbrink', 'Jens Breum', 'Klaus Agerschou', 'Lars Krarup', 'Jan Ettrup', 'Birgitte Bjørn', 'Lars Mitch Fischermann', 'Jørgen Laurvig']"
238250,Free To Choose,"['Henrik Carmel', 'Morten Carmel', 'Kim Bille Gram', 'Ole Poulsen', 'Ole Søbæk Christiansen']"
971317,Fribytterdrømme (rockgruppe),"['Tobias Smith Agger', 'Lau Ingemann Vinther Pedersen', 'Felix Corrigan Suneson', 'Simon Arendal Jørgensen', 'Alexander Mahaffy', 'Gabriele Amatulli', 'Tor Amdisen', 'Thure Spang Andersson']"
294803,Frodegruppen40,"['Anders Koch', 'Jens Blendstrup', 'Claus Schrøder Nielsen', 'Niels Tue Blendstrup', 'Per Götz', 'Anna Pepke']"
237238,Frogstone,[]
1124509,Fräulein (band),"['Anna Halkjær Langgaard Nielsen', 'Emil Mathiasen']"
233031,Gangway,"['Allan Jensen', 'Henrik Balling', 'Torben Johansen', 'Cai Bojsen-Møller', 'Gorm Ravn-Jonsen', 'Jan Christensen']"
153093,Grand Avenue,['Rasmus Walter Hansen']
204841,Granmakathryn,"['Don Kippers', 'Marv Halfkinson', 'Johnny Inkasso']"
854972,Grumpynators,"['Christian Nørgaard', 'Emil Øelund', 'Jakob Øelund', 'Per Fisker']"
190188,Hackensack,"['Martin Miehe-Renard', 'Jan Irhøj', 'Anders Bøgelund', 'Jakob Gram', 'Jesper Falkensteen']"
917650,Halberg & Friends,"['Poul Halberg', 'Jette Schandorf', 'Jan Sivertsen']"
