pageid,title,cleaned_member
734090,Kansas City Stompers,"['Niels Abild', 'Åke Gram', 'Alex Riel', 'Bent Clausen', 'Bo Stief', 'Finn Ziegler', 'Gert Rostock Jensen', 'Gunhild Carling', 'Hans Åsberg', 'Hans Fagt', 'Hans Verner Ottesen', 'Hugo Rasmussen', 'Jacob Andersen', 'Jan Glæsel', 'Jan Hem', 'Jens Haack', 'Jens Melgaard', 'Jesper Lundgaard', 'John Kaas Ibsen', 'Johnny Goffy Rasmussen', 'Karsten Kristensen', 'Kenneth Agerholm', 'Kurt Riedel', 'Lennart Flindt', 'Lennart Gruvstedt', 'Niels Bødker', 'Niels Olsen', 'Niels Ratzer', 'Niels Stuart', 'Nils Henriksen', 'Nils Rehman', 'Nynne Lange', 'Ole Berg', 'Ole Hansen', 'Ole Kock Hansen', 'Ole Ousen', 'Ole Skipper Mosgaard', 'Palle Bremer Nielsen', 'Peder Kragerup', 'Pelle Thomsen', 'Per Carsten Petersen', 'Søren Fechtenberg', 'Steen Hansen', 'Svend Baaring', 'Svend-Erik Nørregaard', 'Torben Hertz', 'Torben Munk', 'Ulf Johansson Werre', 'Verner Work Nielsen']"
861164,Katinka band,['Katinka Bjerregaard']
522122,Keld & Hilda,"['Keld Heick', 'Hilda Heick']"
496177,Keld & The Donkeys,"['Keld Heick', 'Per Høj Andersen', 'Jørn Bavngaard', 'Richard Jensen', 'Svend Callesen', 'Norbert Persson', 'Flemming Jensen', 'Bent Scharnberg', 'Henry Nielsen', 'Paul Malmqvist', 'Flemming Arleth', 'Egon Kjær']"
972936,Keminova Cowboys,"['Sonja Hald', 'Telestjernen', 'Hverdagens Helte', 'Ulvetimen', 'Michelle Birkballe', 'Laura Mo']"
445116,Kenton Slash Demon,"['Jonas Kenton', 'Silas Moldenhawer']"
553674,Kill Screen Music,"['Johan Von Bogenberg Stahl, Torleik Mortensen, Anton Eger']"
856585,Kim Larsen & Bellami,"['Jon Pold', 'Hans Fagt', 'Martin Finding', 'Henning Pold', 'Mikkel Ørva Håkonsson', 'Kim Larsen', 'Henning Pold', 'Hans Fagt', 'Jan Lysdahl', 'Peter Ingemann', 'Thomas Grue', 'Per Rasmussen', 'Mikkel Ørva Håkonsson']"
769524,Kim Larsen & Bell*Star,"['Kim Larsen', 'Henning Pold', 'Hans Fagt', 'Mikkel Ørva Håkkonsson']"
236834,King George Dixieland Stompers,[]
247973,Kiss Kiss Kiss,"['Mads Koch', 'Mads Kristian Frøslev', 'Kristoffer Balle Hvidberg', 'William Frederik Asingh']"
197072,Kissaway Trail,"['Thomas Fagerlund', 'Rune Pedersen (2)', 'Hasse Mydtskov', 'Daniel Skjoldmose', 'Søren Corneliussen']"
435354,The Kites,[]
669023,Klezmofobia,"['Channe Nussbaum', 'Andreas Ugorskij', 'Ole Reimer', 'Jesper Lund', 'Jonatan Aisen', 'Bjarke Kolerus']"
720572,Klyderne,"['Tom McEwan', 'Jess Ingerslev', 'Jesper Klein (2)']"
301037,Know Your Fish,"['Frank Clifforth', 'Kim Fussing Nielsen', 'Jacob Kristiansen', 'Johnnie Reidar', 'Flemming Formand', 'Martin Høst', 'Tue Borg']"
133852,Kongehuset (band),"['Michael Andersen', 'Svend Georg Jørgensen', 'Henning Winther', 'Kristoffer Aarsleff Wistisen']"
256097,Kontra Kvartetten,[]
492075,Koxbox,"['Frank Kiehn Madsen', 'Peter Candy', 'Ian Ion']"
654821,Kúra,"['Fanney Ósk Þórisdóttir', 'Brynjar Bjarnfoss']"
184252,Københavns Post-Orkester,[]
795418,L.E.F. & De Langsomme Lyn,[]
732542,L.I.G.A,['Ihan Haydar']
411512,Lad De Små Børn Lege,['Thomas Buttenschøn']
87957,Larsen and Furious Jane,"['Keld Jørgensen', 'Tom Jørgensen', 'Mikkel Bolding', 'Tore Johansen', 'Torsten Larsen']"
98951,Lazyboy,['Søren Nystrøm Rasted']
490568,Le Freak (dansk band),[]
246518,Lex & Klatten,"['Hella Joof', 'Paprika Steen', 'Martin Brygmann', 'Peter Frödin']"
548450,Licious people,"['Marcel Mark Gbekle', 'Tobias Askevig Pedersen']"
445166,Lis & Per,"['Lis Kauczki', 'Per Kauczki']"
396643,Lis Er Stille,"['Martin Byrial', 'Tue Schmidt Rasmussen', 'Asbjørn Helboe', 'Jon Gotlev', 'Rosanna Lorenzen']"
396644,Lisa Vegas,['Lisa Bianca Gjerning Søndergaard']
178635,Livgardens Tambourkorps,[]
177346,The Loft,"['Jakob Weise Hellum', 'Martin Bøge Pedersen']"
468455,Los Valentinos,"['Claus Asmussen', 'Tommy Seebach', 'Niels Tuxen', 'Per Stan', 'John Uldall', 'Flemming Guldsborg', 'Kim Daugaard', 'Robert Cornford', 'Ole Trier', 'Jan Eliasson', 'Lars Reinau', 'Henning Tingleff', 'Michael Jørgsholm', 'Jan Høgh', 'Steen Christensen', 'Mac Skou']"
436997,Lovebites,"['Karina Foss', 'Andrew Fenn', 'Solveig Sandnes', 'Henrik H. Olesen', 'Niclas Tange', 'Sigrun Gudbrandsdottir', 'Mathilde Lunderskov']"
110711,Lucie Baines,"['Kresten Osgood', 'Thomas Vang', 'Gisli Gislason']"
412930,Luke,"['Tanja Thulau', 'Nikolaj Grandjean', 'Bastian Sjelbjerg', 'Jens Bjørkjær']"
410584,Lulu Rouge,['DJ Buda']
1162594,Lust For Youth,"['Hannes Norrvide', 'Amanda Eriksson', 'Loke Rahbek', 'Malthe Fischer', 'Soho Rezanejad']"
248438,Lyngby-Taarbæk Mandolinorkester,[]
160307,Løgn (band),"['Sigvart Dagsland', 'Svein Tang Wa', 'Rune Andersen', 'Bjørn Aslaksen', 'Per Inge Torkelsen', 'Steinar Lyse', 'Sally Nilsson']"
724260,Lørdagspigerne,"['Birthe Buch', 'Inge Stauss', 'Nete Schreiner']"
355192,Mabel,"['Michael Trempenau', 'Peter Nielsen', 'Otto Kulmbak', 'Christian Have']"
349104,Maborosi,"['Tobias Buch-Andersen', 'Kasper Sørensen', 'Claus Elnegaard', 'Jesper Elnegaard']"
506824,Made in Denmark (band),"['Jannie Faurschou', 'Jørgen Petersen', 'Tom Lerdrup Hansen', 'Birger Obling', 'Alf Johansen', 'Jean Pierre Schiøler', 'Kenn Overgaard', 'Ove Sørensen (2)', 'Ebbe Skeel']"
559930,Mafijah,[]
1119627,Mansfield (band),[]
404316,Maria Timm,[]
112589,Marie Key Band,"['Marie Key', 'Jakob Thorkild', 'Marie Louise von Bülow', 'Mads Andersen']"
440422,Marvel Hill,"['Mads Katholm', 'Michel Svane', 'Tom Nielsen (3)', 'Rasmus Lindgren']"
208811,Marvins Revolt,"['Martin Niemann', 'Simon Himmelstrup Andersen', 'Klaus Peter Nielsen', 'Søren Holst Frøkjær Thuesen']"
445471,Marybell Katastrophy,['Marie Højlund']
126184,Megalomania 999,"['Flemming Larsen', 'Andi Holm', 'Ricky Christensen', 'Rune Gangelhof', 'Louis Hansson', 'Nikolaj Balle', 'Sonny Hansen', 'Joachim Asmussen']"
654824,Mellemblond (band),"['Frederik Teige', 'Adrian Aurelius', 'Mads Brinch Nielsen', 'Kristoffer Munck Mortensen', 'Jens Hein', 'Silas Tinglef', 'Mads Nielsen (3)', 'Jakob Bjørn Hansen']"
416671,Men Among Animals,"['Lasse Nielsen', 'Bo Christensen', 'Brian Bendsen', 'Rune Borre-Jensen', 'Janus Elsig']"
435435,Micropop,[]
426212,Mighty Midgets,"['Troels Højgaard Sørensen', 'Niels Højgaard Sørensen', 'Peter Valler', 'Lasse Olsen', 'Rasmus Glassau Clausen']"
975163,Mika og Tobias,[]
378339,MikkelModulererMarius,"['Mikkel Meyer', 'Marius Nørup-Nielsen']"
353854,Mindmare,"['Joachim Asmussen', 'Lars Andersen', 'Vaeis Omar', 'Martin Wolfram Klausen', 'Michael Hansen Buur', 'Peter Dyhr', 'Jacob Radoor', 'Ricky Kærsner']"
139366,Mindspray,[]
1114104,Mister Jack and the Daniels,"['Michael Grønnegaard', 'Morten Donslund', 'Jesper Kristensen (2)', 'Lars Clausen']"
707144,Mixtune for Cully,['Aage Hedensted']
404329,Mouritz/Hørslev Projektet,['Lone Hørslev']
932425,Mr. Wilms,"['Jimmy Wilms Løndorf', '', 'Rune Hede Eskildsen', '', 'Kenneth Hunæus', '', 'Arvid Ehn', '', 'Thomas Møller', '', 'Robert Mulder', '']"
499346,Muddi og Salamidrengene,"['Claus Muddi Hvass', 'Tommy Lui Lui Lui', 'Per Per Syvspring Hundborg', 'Thomas Sømanden Thrane']"
432232,Murder,['Jacob Bellens']
366745,Musikk,"['Jesper Green', 'Mikkel Torsting']"
315280,Naïve,"['Vincenzo Callea', 'Luca Lento', 'Roberto Terranova', 'Marco Adragna']"
181861,Naked Fish,"['Karl Erik Pedersen', 'Ulrik Bust', 'Jakob Ottesen', 'Michael Friis']"
396442,Napoleon Solo (band),"['Jacob Palitzsch', 'Sonny Rasmussen', 'Jens Wennecke', 'Michael Theiltoft', 'Poul Siersbæk', 'Søren Christensen', 'Jack Rothe', 'Ole Kibsgaard', 'Hans Nybo', 'Jasper Jørgensen']"
486865,Nechoes,[]
331276,Nerve (band),[]
1066097,New Jungle Orchestra,"['Audun Kleive', 'John Tchicai', 'Harry Beckett', 'Thomas Dyani', 'Pierre Dørge', 'Kasper Tranberg', 'Horace Parlan', 'Marilyn Mazur', 'Thommy Andersson', 'Hamid Drake', 'Johnny Dyani', 'Ole Rømer', 'Per Jørgensen', 'Morten Carlsen', 'Ahmadu Jarr', 'Jörg Huke', 'Bent Clausen', 'Mads Hyhne', 'Hugo Rasmussen', 'Gunnar Halle', 'Anders Banke', 'Kenneth Agerholm', 'Harrison Bankhead', 'Søren Eriksen', 'Ayi Solomon', 'Simon Spang-Hanssen', 'Irene Becker', 'Uffe Markussen', 'Peter Danstrup', 'Aage Tanggaard', 'Tobias Wiklund', 'Doudou Gouirand', 'Jesper Zeuthen', 'Michel Marre', 'Jakob Mygind', 'Niels Neergaard', 'Lennart Fessel', 'Jens Skou Olsen', 'Berit Mæland', 'Martin Andersen (5)']"
420574,New Politics,"['David Boyd', 'Søren Hansen', 'Louis Vecchio', 'Poul Amaliel']"
413272,Nina & Frederik,"['Nina van Pallandt', 'Frederik van Pallandt']"
219424,No Hope for the Kids,"['Ronni Dybdahl', '', 'Kasper Maarbjerg', '', 'Jens Johansen', '', 'Peter Bonneman']"
623069,No Shoes (band),"['Nils Poulin', 'Tom Bøll', 'David Poulin', 'Rune Friis']"
156075,Nordstrøm,"['Troels Holdt', 'Lars Malm']"
901001,Olesen-Olesen,"['Henrik Olesen', 'Peter H. Olesen']"
150485,Oliver North Boy Choir,"['Mikkel Max Hansen', 'Camilla Florentz', 'Ivan Petersen']"
152969,On Trial,['Lorenzo Woodrose']
427521,One-Eyed Mule,"['Rasmus Dall', 'Uffe Ipsen', 'Søren Lynggaard Andersen', 'Simon Meiner', 'Rune Højmark']"
201864,Onkel Dum & Bananerne,"['Thomas Høg', 'Lasse Aagaard', 'Sune Svanekier', 'Jens Korse']"
85708,Outlandish,"['Isam Bachiri', 'Waqas Ali Qadri', 'Lenny Martinez']"
412953,Owusu & Hannibal,"['Philip Owusu', 'Robin Hannibal']"
1030938,Pafpetakel,['Lars Fuhr og John Strandskov']
999119,Pakhus 1,"['Fredrik Søegaard', 'Frank Jensen', 'Aage Hagen', 'Klaus Kjellerup', 'Henrik Schaltz', 'Henrik Bjørn Rasmussen']"
435443,Panamah,"['Anders Christensen', 'Peter Lützen', 'Amalie Stender']"
47824,Papa Bues Viking Jazzband,[]
207081,Papkasseshow,"['Kim Dalum', 'Morten Henriksen']"
91344,Paragraf 119,"['Jeppe (3)', 'Adam O', 'Anders Dödshjælp']"
441464,Passion Orange,"['Benjamin Hammerum', 'Henrik Søgaard', 'Bjarni Olsen', 'Jonas Gauguin', 'Mads Juhl']"
433865,Passtime Poets,[]
457464,People Press Play,"['Anders Remmer', 'Jesper Skaaning', 'Thomas Knak', 'Sara Savery']"
700061,Phillias Fogg,[]
479435,Pil & Liv,"['Pil', 'Liv']"
274823,Pimp-A-Lot,[]
488408,Pin-Ups,[]
484394,Pink Marines,[]
960556,Place on Earth,"['Mille Katharina Hassenkam', 'Ølstykke', '', 'Kathrine Ørnfelt', 'Horsens', 'Andreas Falch Kruse', 'Hareskov', '']"
237330,Playhouse,[]
865709,Pligten Kalder,"['Torben Steno', 'Johan Olsen', 'Peter Bech-Jessen']"
114973,Pluto (band),[]
1133793,Popsi og Krelle,"['Popsi', 'Krelle']"
720678,Port Friendly,"['Sebastian Høeg Gulmann', 'Peter Neergaard Henrichsen', 'Martin Krogh', 'Martin Lose', 'Anders Reuss']"
143515,Powersolo,['Kim Hjorth Jeppesen og Bo Hjorth Jeppesen']
323853,Pretty Maids,['Ronnie Atkins']
648259,Prinsens Musikkorps,[]
223891,Psychopomps,"['Jesper Schmidt', 'Flemming Norre Larsen', 'Kaare Mogensen']"
882477,På Slaget 12,['Ann-Mette Elten']
405779,Quadron,['Robin Hannibal']
187151,Racetrack Babies,"['Hans-Christian Søgaard Andersen', 'Cecilie Ravik', 'Christian Søgaard Andersen', 'Cecilie Ravik', 'Jacob Aaby', 'Mads Hvidt', 'Martin Bjerregård', 'Morten Søfting', 'Chad Charlton', 'Christian Hvid', 'Johan', 'Villads Berg', 'Michael']"
417729,Racing Ape,[]
251529,RaiDen,[]
654804,Rangleklods,['Esben Andersen']
1083908,Reddi,['Ihan Haydar']
436980,The Rhonda Harris,['Nikolaj Nørlund']
554166,Ridin’Thumb,[]
445136,The River Phoenix,"['Kristian Finne Kristensen', 'Michael Brandt Nielsen', 'Nikolaj Wichmann Hansen', 'Morten Leidecker', 'Stefan Garfield Rasch Holm']"
131979,The Rotten Leprechauns,"['Emil Munk', 'Simon Kjær', 'Tore Alexandersen', 'Rune Alexandersen', 'Skelletore']"
314974,Rugsted & Kreutzfeldt,"['Jens Rugsted', 'Stig Kreutzfeldt']"
184613,Rumpistol,[]
170559,Russia Heat,"['Mikael Dehn', 'Julian Le Fay']"
229280,Salem (band),"['Heather Marlatt', 'Jack Donoghue', 'John Holland (5)']"
349175,Sania,[]
158066,Santa Cruz (band),"['Edinho Santa Cruz', 'Chiquinho (22)', 'Julinho (15)', 'Tacilinho']"
459828,Scarlet Chives,"['Maria Mortensen', 'Brian Batz', 'Peter Esben', 'Rasmus Lindahl & Daniel Kolind']"
766293,Scarlet Pleasure,"['Emil Goll', 'Joachim Dencker', 'Alexander Malone', 'Louis Samson Myhre']"
315272,Scatterbrain,"['Anders Brill', 'Jesper Siberg', 'Hilmer Hassig']"
490301,Schweppenhäuser/Thomsen,"['Jakob Schweppenhäuser', 'Emil Thomsen']"
131621,SEB (musikgruppe),['Sebastian Øberg Nielsen']
898336,Sedated Angel,"['Tommy Skouboe', 'Tommy Iversen', 'Tobias Nefer', 'Christian Christensen', 'Daniel Kristensen']"
737469,She talks,"['Inge Poulsen, Henrik Madsen og Jens Poulsen']"
702018,Sink Ships,"['Carl Coleman', 'Matthew Moller', 'Brian Della Valle', 'Emilia Olson', 'Theis Mikkelsen']"
486333,Sinusstøv,"['Hannah Schneider', 'Søren Friis Dam', 'Claus Pedersen']"
950294,Sirius (band),"['Ole Bredahl', 'Mogens Holm Andersen', 'Susanne Hamalainen', 'Susanne Winstrøm']"
142212,The Skandals,['Dan Flynn']
232532,Skrammelorkestret BØWL,[]
374114,Slaraffenland (musikgruppe),[]
376546,Slesvigske Musikkorps,[]
939166,Slægt (band),"['Adam Kjær Nielsen', 'Oskar J. Frederiksen', 'Olle Bergholz', 'Anders M. Jørgensen', 'Eik Bone']"
418779,Smile (dansk band),[]
418466,Snake And Jet's Amazing Bullit Band,"['Snake', 'Jet', 'Laura Rathschau', '']"
469959,Snapshot (band),"['Bodil Agerschou', 'Lotte Feder']"
936323,So I'm An Islander,[]
300637,Sofamania,"['Claus Carlsen', 'Per Frost', 'Jacob Haugaard', 'Kate Svanholm', 'Nold', 'Jacob Perbøll', 'Michael Perbøll', 'Bodil Ove', 'Per Harboe', 'Niels Hahn (2)']"
855254,Solbrud (band),['Ole Luk']
409598,Sort Stue,"['Anti K/Den Sorte Død', 'Brent Barn/Vandrende bein', 'Jake Juke', 'Fitnis', 'Lester', 'Blow Joe/B.Magic-samples', 'Anonym Trommeslager', 'Mads Bendsen', 'Instro-Mental', 'Ruby Manslaughter', 'EnnHaiKu']"
435395,Specs & Suni,[]
123281,Spleen United,"['Bjarke Niemann', 'Kasper Nørlund', 'Rune Wehner', 'Jens Kinch', 'Gaute Niemann', 'Janus Nevel']"
671080,Det danske stabsmusikkorps,[]
85917,Starfuckers,"['Ole Frø', 'Kim Larsen', 'Thomas Grue', 'Stig Møller', 'Jess Stæhr', 'Ken Gudman']"
484570,Stenrosen,"['Peter Ålbæk Jensen', 'Lisbeth Madsen', 'Mette Boel Seibæk', 'Flemming Kempf', 'Bjarne Brems', 'Henrik Tvede', 'Peter Aaen']"
398221,Sterling (band),"['Jonas Linnet', 'Ole Jeppesen', 'Mads Nygaard', 'Rasmus Bjerre']"
194772,Sticky,[]
521449,Stig & Vennerne,"['Stig Rossen', 'Anders Lampe', 'Peter Bødker']"
237672,The Storm (dansk band),"['Johan Wohlert', 'Pernille Rosendahl']"
445094,Strawberry Slaughterhouse,"['Caz The Clash', 'Henrik Stendahl', 'Karsten Johansen', 'David Davidsen']"
458835,Street Mechanics,['Thomas Madvig']
418986,Striving Vines,"['Michael Moe', 'Jonas Møller', 'Jacob Haubjerg', 'Jens Bach']"
461150,Strychnos,"['Martin Leth Andersen', 'Nis Rode Larsen', 'Jonas Pedersen', 'Jeppe Hasseriis']"
1032092,Den Danske Strygekvartet,[]
520693,Studio Killers,"['Philip Larsen', 'Teemu Brunila', 'Darren Stokes']"
433872,Stupid White Men,"['Lars Westh', 'Allan Nordquist', 'Christian Meldgaard', 'Anders Abel']"
359344,Sunstroke PM,"['Rune Krogshede', 'Henrik Øllgaard Olsen', 'Simon S. Andersen', 'Johan Knudsen (2)', 'Jesper Karkov', 'Jesper Hansen (4)']"
735772,Super Karla,"['Rikke Sinding', 'Jytte Pedersen', 'Susan Ohrt', 'Anne Marie Møller', 'Helene Lønsted', 'Pia Nyrup', 'Birgitte Slot', 'Rita Arenkiel']"
716459,Superfuzz,[]
205212,Surfact,"['Martin Kristoffersen', 'Claus Bach', 'Jeppe Sig', 'Jesper Storgaard', 'Niels Lykke']"
169933,Sussi og Leo,"['Sussi', 'Leo']"
435410,Svenstrup & Vendelboe,"['Kasper Svenstrup', 'Thomas Vendelboe']"
304892,Svogerslev Brass Band,[]
66891,Swe-Danes,"['Svend Asmussen', 'Ulrik Neumann', 'Alice Babs']"
177665,Swing Jørgens Rytmecirkus,[]
499662,Swing Sisters,"['Kirsten Siggaard', 'Kirsten Vaupel', 'Lise-Lotte Norup']"
537682,Syreregn (band),"['Thor Boding', 'Rasmus Kurdahl', 'Nick W. Thøgersen', 'Jacob Rasmussen', 'Jakob Møller', 'Kim Bat', 'Casper Gyldensøe']"
899028,Sønderborg friv. Brandværnsorkester,[]
425791,Sønderborg Pipes and Drums,[]
820340,Søsterrock,"['Marianne Hall', 'Pia Rasmussen', 'Eva Langkow', 'Pia Nyrup', 'Lotte Bering', 'Iben Dupont', 'Tina Holch', 'Bente Dichmann']"
383255,Søværnets Tamburkorps,[]
1076427,Takykardia,"['Troels Dankert', 'Luna Matz', 'David Nedergaard']"
1134915,Tears,"['Anne Linnet', 'Holger Laumann', 'Bent Lundgaard', 'Bjørn Veierskov', 'Jens Jefsen', 'Ed Jones', 'David Cadogan']"
483935,"Teddy, Chano, Jan & John","['Teddy Edelmann', 'John Friis', 'Chano Tietze', 'Jan Pedersen (3)', 'Teddy and Chano']"
513091,Telstar Sound Drone,"['Hans Beck, Mads Saaby, Sean Jardenbæk']"
235788,"Terje, Jesper & Joachim","['Joachim Ussing', 'Terje Barnholdt', 'Jesper Schmidt (2)']"
475010,Terminal (band),"['Thorsten Bæk', 'Rasmus Ilsø', 'Henrik Engstrøm']"
688756,The Baronets,"['Frank Lauridsen', 'Ole Fick', 'Bo Gryholt', 'Carsten Smedegaard', 'Lasse Helner', 'Jens Elbøl', 'Uno Tschicaja', 'Kell Dalager', 'Gert Rostock Jensen', 'Vita Jensen', 'Mogens Hegelund', 'Esben Hegelund']"
144286,The Contemporary Jazz Quintet,"['Charles Moore', 'Kenny Cox', 'Leon Henderson', 'Danny Spencer (2)', 'Ron Brooks']"
479426,The Copenhagen Collective,[]
389834,The Elsinore Players,[]
1154269,The Great Dictators,"['Jakob Lundorff, Christoffer Hein og Dragut Lugalzagosi']"
973094,The Grenadines,"['Morten Fillipsen', 'Kasper Daugaard', 'Laurits Emanuel']"
496163,The Kandidate,"['Kaspar Boye „KB“ Larsen', 'Allan Tvedebrink', 'Jacob Bredahl', 'Nils Peter „NP“ Nielsen', 'Dennis Buhl', 'Nikolaj Borg', 'Kim Orneborg', 'Kim Jarlhelt']"
1065239,The Lejrbåls,['Maria Bramsen']
644605,The Malpractice,['Johannes Gammelby']
1117795,The Overlords,"['Christian Johansson, Rune Bendixen', 'Carsten Pedersen']"
1033231,The Reptones,"['Niels Meredin', 'Bo Bech', 'Kim Heibon', 'Jesper Rasch', 'Jakob Lund (2)']"
185815,The Seven Mile Journey,"['Lars (2)', 'Henrik (4)', 'Jacob (6)', 'Nicolai (4)']"
337252,The Wong Boys,"['Frank Ziyanak', 'Stefan Kvamm']"
1063877,Theatre of Voices,['Paul Hillier']
418981,Thee Attacks,"['Jimmy Attack', 'Terry Attack', 'Johnny Attack', 'Ritchie Attack']"
186916,Three Moses,"['Peter Bak (2)', 'Christian Gower Mathiesen', 'Mark Serridge', 'Marius Mathiesen']"
937399,Thy Music Collective,[]
101600,Tolkien Ensemble,['Caspar Reiff']
781263,Tolsgaard & Pretzmann,"['Rune Tolsgaard', 'Esben Pretzmann']"
370212,Torrpedorr,"['DeublEe', 'Ralle Mouzze', 'Adam Sampler']"
1045396,Total hip replacement (band),"['Victor West Hosbond', 'Carl West Hosbond\nAlexander Julius Arlien-Søborg Dutschke\nNadia Safwat\nViggo Bandholm Jensen', 'Lasse Damsgaard Andersen', 'Marta Eliseo Trondhjem']"
886177,Tothe International,"['Jesper Reginal', 'Karsten Schiøler', 'Mikael Fenger', 'Robert Schmidt']"
536121,Trax,"['Pete Bellotte', 'Keith Forsey']"
445306,Treefight For Sunlight,"['Mathias Sørensen', 'Morten Winther Nielsen', 'Christian Rohde Lindinger', 'Niels Kirk']"
416728,Trigbag,"['Anders Trentemøller', 'Thomas Bertelsen']"
1140647,Trio con Brio Copenhagen,"['Soo-Jin Hong', 'Soo-Kyung Hong', 'Jens Elvekjær']"
1051131,Trio Debil,"['Flemming Flying', 'Jones (27)', 'Kim Larsen (4)']"
370763,Trolle//Siebenhaar,"['Ane Trolle', 'Pato Siebenhaar']"
218758,Turboweekend,"['Silas Bjerregaard', 'Martin Øhlers Petersen', 'Morten Køie', 'Anders Stig Møller', 'Keyboards']"
440474,Tyggegummibanden,"['Michael Jørgensen', 'Morten Langebæk', 'Henrik Bødtcher', 'Kasper Winding', 'Michael Bruun', 'Jan Sivertsen']"
1135748,Tyrants & Kings,"['Dennis Kasten', 'Mads Valther', 'Jens Larsen', 'Lasse Jonsson']"
908651,Ude af kontrol,"['Daniel Balken', 'Mark Philip Løvendahl', 'Joachim Nicholas Rouse', 'Patrick Porting Høffding']"
800205,Los Umbrellos,"['Al Agami', 'Mai-Britt Vingsøe', 'Grith Höifeldt']"
190089,Unafraid,"['Brian Bradley (5)', 'Paul Hagarty', 'John Svagdis', 'Ed Foley', 'David Giust']"
203673,Uncle Muffin,[]
425396,UTAH,['Søren Zahle Schou']
124738,VETO (band),"['Troels Abrahamsen', 'David Krogh Andersen', 'Mark Lee', 'Jens Skov Thomsen', 'Mads Hasager']"
896246,Vi sidder bare her,"['Mikael Simpson', 'Frithjof Toksvig', 'Jørgen Leth']"
780533,Via Artis Konsort,[]
399096,Vincent Van Go Go,"['Johs Nørrelykke', 'Kristian Scooter Kold', 'Dennis Ghettoblast.it Ahlgren', 'Thomas Terry Tester Månsson', 'Janus Nevel Ringsted']"
268951,Viro,"['Rasmus Ro', 'Jakob Winge']"
263429,Vocaloca,"['Ulrich Lauridsen', 'Charlotte Rose Lauridsen', 'Erik Kolind', 'Katrine Martinsen Gottschalck', 'Magnus Glindvad Rasch']"
423164,Von Dü,"['Bjørn Hardenberg', 'Emil Fredberg Stricker', 'Laurits Trier Hansen', 'Morten Nygaard', 'Mads Peter Steenstrup', 'Ole Hylling', 'Oliver Grønne', 'Tobias Steinmann', 'Troels Kjær']"
399097,Vong Nguyet,['Niels Lan Doky']
354954,Vos,[]
256704,VoxNorth,[]
377567,When Saints Go Machine,"['Nikolaj Vonsild', 'Jonas Kenton', 'Simon Muschinsky', 'Silas Moldenhawer']"
407927,You Know Who,['Christina Undhjem']
351566,Young Wasteners,['Peter Bonneman']
983196,Aarhus Jazz Orchestra,"['Claus Waidtløw', 'Gustav Rasmussen', 'Michael Bladt', 'Nikolai Bøgelund Pedersen', 'Morten Lund (2)', 'Mads Bærentzen', 'Henrik Resen', 'Jens Mikkel Madsen', 'Jakob Buchanan', 'Adam Rapa', 'Michael Olsen (4)', 'Alex Jønsson (2)', 'Maria Edlund', 'Andreas Skamby', 'Storm Kleist', 'Jan Lynggaard', 'Jakob Rosendahl Povlsen', 'Rasmus Bøgelund', 'Mikkel Schreiber', 'Cæcilie Balling', 'Johan Toftegaard Knudsen', 'Niels Jacob Nørgaard']"
420094,Østjydsk Musikforsyning,"['H.C. Vartenberg', 'Anders Errboe']"
716601,8Ball,"['Ronnie Lennett', 'David Bertelsen', 'Jakob Hammer']"
389637,A Kid Hereafter,"['Frederik Thaae', 'Anders Bo Rasmussen']"
345051,Alien Beat Club,"['Kasper Spring Ehlers', 'Marcel Mark Gbekle', 'Patricia Namakula Mbabazi', 'Stephanie Lykkehøj Gudmundsen']"
279528,The Alligators,"['Ole Ballund', 'Jens Dan', 'Niels Mathiasen', 'Morten Kjeldsen']"
327371,Alphabeat,"['Stine Bramsen', 'Anders Bønløkke', 'Troels Hansen', 'Anders Reinholdt', 'Rasmus Nagel', 'Anders Nielsen']"
402864,Annasaid,"['Martin Sahlertz', 'Jesper Jensen', 'Andreas Boesig', 'Emil Sylle Sylvester Jakobsen', 'Mathias Pedersen-Smidt', 'Johan Sylvest', 'Mads Buhl Henriksen']"
1160408,APHACA (band),"['Rumle Kærså', 'Bertram Ask Plauborg Rasmussen', 'Noah Elias Rasmussen', 'Bertil Engberg Nielsen']"
66327,Aqua (band),"['Lene Nystrøm', 'René Dif', 'Claus Norreen', 'Søren Rasted']"
409893,Atoi,"['Ida Cæcilie Rasmussen', 'Emil Assing Høyer', 'Stig Helmer Jensen', 'Joel Gjærsbøl Pedersen']"
484199,Avalyn,[]
243106,Bamses Venner,"['Flemming Jørgensen', 'Arne Østergaard', 'Mogens Balle', 'Jan Locht', 'Frank Thøgersen']"
1003420,Barselona,"['Rud Aslak', 'Rasmus Theodor']"
558051,BeePop,"['Stine Pagh', 'Heidi Degn', 'Karl Gade', 'Daniel Munk', 'Henrik Thomsen', 'Jakob Schantz', 'Ronnie Olesen']"
1126706,Bikini (gruppe),"['Christine Marie Buchart', 'Kamille Francesca Rosenbøg Kiesa']"
1113079,Blæst (band),"['Sarah Sophie Malmros', 'Lauge Kjærulf', 'Valentin Buchwald', 'Anders Bondo', 'Fernanda Rosa']"
418711,The Bronson Brothers,"['Ted Bronson, Clyde Bronson, Malle, Zeu, Mr. Toby Diamonds']"
14503,Brødrene Olsen,"['Jørgen Olsen', 'Niels Olsen']"
180826,C21,"['Søren Bregendal', 'David Pepke', 'Esben Duus']"
