pageid,group,cleaned_member,disc_members,all_members
376691,Entakt,"['Jonas Villumsen', 'Kristian Martinsen', 'Abas Bathily', 'Nicolai Olsen', 'Henrik Gibo', 'Henning Villumsen', 'Søren Gemmer']",[],"['Abas Bathily', 'Henning Villumsen', 'Henrik Gibo', 'Jonas Villumsen', 'Kristian Martinsen', 'Nicolai Olsen', 'Søren Gemmer']"
1169195,Bruger:Epokeband/sandkasse,[],[],[]
562518,Escape Artists,"['Torben Johansen', 'Søren Laugesen', 'Benny Woitowitz', 'Finn Detlef']",[],"['Benny Woitowitz', 'Finn Detlef', 'Søren Laugesen', 'Torben Johansen']"
792529,Essence (band),"['Lasse Skov', 'Mark Drastrup', 'Rasmus Munch', 'Nikolaj Kjærgaard', 'Jens Martin Haumann', 'Tobias Nefer']",[],"['Jens Martin Haumann', 'Lasse Skov', 'Mark Drastrup', 'Nikolaj Kjærgaard', 'Rasmus Munch', 'Tobias Nefer']"
497612,Even Dwarfs,"['Tobias Bendixen', 'Kim Wolf Andersen']",[],"['Kim Wolf Andersen', 'Tobias Bendixen']"
403315,Factory45,"['Esben Busch', 'Charlie', 'Morten', 'Jonathan']",[],"['Charlie', 'Esben Busch', 'Jonathan', 'Morten']"
495489,Fahrenheit (dansk band),[],[],[]
206217,The Fashion,"['Alan Darby', 'Dave Harris', 'Troy Tate', 'Marlon Recchi', 'Dik Davis', 'Lûke', 'Tony Deary', 'John Mulligan (5)', 'Al James (16)']",[],"['Al James (16)', 'Alan Darby', 'Dave Harris', 'Dik Davis', 'John Mulligan (5)', 'Lûke', 'Marlon Recchi', 'Tony Deary', 'Troy Tate']"
501263,Feed Back,"['Michele Violante', ""Maurizio D'Ambrosio"", 'Ilario Drago']",[],"['Ilario Drago', ""Maurizio D'Ambrosio"", 'Michele Violante']"
540173,The Felines,"['Asta Bjerre', 'Ditte Melgaard', 'Mei Long Bao']",[],"['Asta Bjerre', 'Ditte Melgaard', 'Mei Long Bao']"
87961,Figurines,"['Christian Hjelm', 'Claus S. Johansen', 'Andreas Toft', 'Kristian Volden', 'Jens Ramon']",[],"['Andreas Toft', 'Christian Hjelm', 'Claus S. Johansen', 'Jens Ramon', 'Kristian Volden']"
1113815,First flush,"['Jonathan Carstensen', 'Alexander Weile', 'Jeppe Davidsen (2)', 'Mads Rubin', 'Peter Bruhn (4)']",[],"['Alexander Weile', 'Jeppe Davidsen (2)', 'Jonathan Carstensen', 'Mads Rubin', 'Peter Bruhn (4)']"
219434,Five Tonnys,"['Svend Christiansen', 'Knud Thormod', 'Tonny Elm Larsen', 'Bjarne Bøgelund Jensen', 'Benni Christiansen']",[],"['Benni Christiansen', 'Bjarne Bøgelund Jensen', 'Knud Thormod', 'Svend Christiansen', 'Tonny Elm Larsen']"
188771,Frank Rubino,"['Frank Lundum', 'Tommy Lui', 'Lars Møller', 'Jan Møller', 'Morten Kjeldsen', 'Christian Bach']",[],"['Christian Bach', 'Frank Lundum', 'Jan Møller', 'Lars Møller', 'Morten Kjeldsen', 'Tommy Lui']"
191534,Frede Fup,"['Wili Jønsson', 'Trond Clements', 'Thomas Grue', 'Bjørn Uglebjerg', 'Hans Fagt', 'Flemming Muus', 'Steen Svare', 'Frede Norbrink', 'Jens Breum', 'Klaus Agerschou', 'Lars Krarup', 'Jan Ettrup', 'Birgitte Bjørn', 'Lars Mitch Fischermann', 'Jørgen Laurvig']",[],"['Birgitte Bjørn', 'Bjørn Uglebjerg', 'Flemming Muus', 'Frede Norbrink', 'Hans Fagt', 'Jan Ettrup', 'Jens Breum', 'Jørgen Laurvig', 'Klaus Agerschou', 'Lars Krarup', 'Lars Mitch Fischermann', 'Steen Svare', 'Thomas Grue', 'Trond Clements', 'Wili Jønsson']"
238250,Free To Choose,"['Henrik Carmel', 'Morten Carmel', 'Kim Bille Gram', 'Ole Poulsen', 'Ole Søbæk Christiansen']",[],"['Henrik Carmel', 'Kim Bille Gram', 'Morten Carmel', 'Ole Poulsen', 'Ole Søbæk Christiansen']"
971317,Fribytterdrømme (rockgruppe),"['Tobias Smith Agger', 'Lau Ingemann Vinther Pedersen', 'Felix Corrigan Suneson', 'Simon Arendal Jørgensen', 'Alexander Mahaffy', 'Gabriele Amatulli', 'Tor Amdisen', 'Thure Spang Andersson']",[],"['Alexander Mahaffy', 'Felix Corrigan Suneson', 'Gabriele Amatulli', 'Lau Ingemann Vinther Pedersen', 'Simon Arendal Jørgensen', 'Thure Spang Andersson', 'Tobias Smith Agger', 'Tor Amdisen']"
294803,Frodegruppen40,"['Anders Koch', 'Jens Blendstrup', 'Claus Schrøder Nielsen', 'Niels Tue Blendstrup', 'Per Götz', 'Anna Pepke']",[],"['Anders Koch', 'Anna Pepke', 'Claus Schrøder Nielsen', 'Jens Blendstrup', 'Niels Tue Blendstrup', 'Per Götz']"
237238,Frogstone,[],[],[]
1124509,Fräulein (band),"['Anna Halkjær Langgaard Nielsen', 'Emil Mathiasen']",[],"['Anna Halkjær Langgaard Nielsen', 'Emil Mathiasen']"
233031,Gangway,"['Allan Jensen', 'Henrik Balling', 'Torben Johansen', 'Cai Bojsen-Møller', 'Gorm Ravn-Jonsen', 'Jan Christensen']",[],"['Allan Jensen', 'Cai Bojsen-Møller', 'Gorm Ravn-Jonsen', 'Henrik Balling', 'Jan Christensen', 'Torben Johansen']"
153093,Grand Avenue,['Rasmus Walter Hansen'],"['Rasmus Walter Hansen', 'Marc Charles Stebbing', 'Hjalte Thygesen', 'Niels-Kristian Bærentzen']","['Hjalte Thygesen', 'Marc Charles Stebbing', 'Niels-Kristian Bærentzen', 'Rasmus Walter Hansen']"
204841,Granmakathryn,"['Don Kippers', 'Marv Halfkinson', 'Johnny Inkasso']",[],"['Don Kippers', 'Johnny Inkasso', 'Marv Halfkinson']"
854972,Grumpynators,"['Christian Nørgaard', 'Emil Øelund', 'Jakob Øelund', 'Per Fisker']",[],"['Christian Nørgaard', 'Emil Øelund', 'Jakob Øelund', 'Per Fisker']"
190188,Hackensack,"['Martin Miehe-Renard', 'Jan Irhøj', 'Anders Bøgelund', 'Jakob Gram', 'Jesper Falkensteen']",[],"['Anders Bøgelund', 'Jakob Gram', 'Jan Irhøj', 'Jesper Falkensteen', 'Martin Miehe-Renard']"
917650,Halberg & Friends,"['Poul Halberg', 'Jette Schandorf', 'Jan Sivertsen']",[],"['Jan Sivertsen', 'Jette Schandorf', 'Poul Halberg']"
469752,Hardinger Band,"['Michael Hardinger', 'Jørgen Thorup', 'B-Joe Johansen', 'Kim Daugaard', 'Flemming Olsen']",[],"['B-Joe Johansen', 'Flemming Olsen', 'Jørgen Thorup', 'Kim Daugaard', 'Michael Hardinger']"
