pageid,title
450809,Frank Ziyanak
903372,Tonny Aabo
1068326,"Lasse Aagaard (komponist, født 1986)"
552862,A'typisk
728875,Abbaz
1067244,Chadi Abdul-Karim
85905,Al Agami
372052,Negash Ali
417506,AndyOp
531928,Ankerstjerne (rapper)
1018855,Artigeardit
116296,Ataf
138840,Bai-D
145499,Baya
701255,David Bertelsen
648429,Toke Lars Bjarke
656861,Bossy Bo
1051126,Branco (rapper)
100314,Tommy Bredsted
968733,Noah Carter
306687,Cas (rapper)
647695,Cha D
1055720,Chapper
88805,Thomas TC Christensen
107552,Clemens (rapper)
408083,Eagger
260448,Mass Ebdrup
718957,Eloq
159988,Einar Enemark
992967,Joachim Englando
396930,Fabeldyret (sanger)
230706,Fantomet (rapper)
1046000,Filuka
1095791,FVN
146631,Geolo Geo
184086,Niels Henrik Gerts
781742,Gilli
396074,Gisli
1139373,Gobs
950900,Jazzy H
1128552,Benjamin Hav
940887,Intensiv MC
1023498,Isbjerg (rapper)
646467,Benny Jamz
760804,Jo-C-Fine
105763,Johnson (rapper)
109744,Jokeren (rapper)
368541,Jooks
189931,Jøden
119333,Ali Kazim
536505,Kesi
535760,Kidd
959917,Zaman Kilic
653607,Klumben
165517,Danny Kool
79070,L.O.C.
6382,L:Ron:Harald
1125144,Lamin
450986,LasG
237814,Lasse Lindholm Nielsen
748850,Linkoban
902752,Lord Siva
644471,Shaka Loveless
467370,Magermayn
107073,Majid
186565,Marwan
54521,Anders Matthesen
397002,MC Meller
403027,Mikl
782105,Stanley Most
428941,Mund De Carlo
377990,Mikkel Mund
249355,Kenneth Møller
190450,Natasja
42357,Niarn
193802,Niklas
974469,Nikoline (rapper)
942260,Nixen
943317,Node (sanger)
207806,O-Jay
1138887,Olivver
357538,Ole Omkvæd
93166,Orgi-E
1010104,Pattesutter
435357,Peacefull James
309488,Pede B
1014133,Kent Pedersen
317964,Nikolaj Peyk
394660,Kalle Pimp
274823,Pimp-A-Lot
1046135,Pind
926198,Henni Purk
217669,Jeppe Rapp
640135,Raske Penge
251611,Remee
1156211,Sanganee
756221,Sivas (musiker)
904416,Sleiman
1164610,Spasmager
848589,Emil Stabil
1033237,Stepz
189936,Strøm (rapper)
236283,Styggtann
701789,Sukker Lyn
325718,Supajan
734684,Supardejen
1019145,Tessa (rapper)
846774,Danni Toma
701648,TopGunn
86951,Troo.L.S
178503,Joe True
116315,USO (rapper)
1172230,Babak Vakili
926164,Nick Vanelli
108086,Per Vers
471048,Anna Vigsø
925730,Ham VolKan
684543,Henning Winther
1043454,Wood
710521,Yepha
221152,Zaki
512944,Zjakalen
183617,Bo Thrige Andersen
1078087,Søren Andersen (musiker)
144298,Franz Beckerlee
681675,Jacob Bellens
116271,Peter Belli
144303,Søren Berlev
240490,Thomas Blachman
226776,Anders Blichfeldt
107388,Hanne Boel
1122463,Nils Brakchi
271512,Sanne Brüel
110377,Michael Bundesen
